epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,224.59,0.4264,0.97895,0.0054,0.92848,0.96233,0.99114,0.94159,0.36274,0.31358,0.0049,0.000363075,0.000363075,0.000363075
138,225.969,0.41494,0.87563,0.00473,0.94726,0.9508,0.99223,0.94321,0.33945,0.30366,0.00458,0.000357575,0.000357575,0.000357575
139,227.151,0.39185,0.84081,0.00419,0.93765,0.9525,0.99223,0.94778,0.33301,0.29557,0.00444,0.000352076,0.000352076,0.000352076
140,228.599,0.37302,0.76945,0.00418,0.89392,0.96364,0.98909,0.9424,0.34212,0.29958,0.00453,0.000346576,0.000346576,0.000346576
141,229.889,0.42787,0.84113,0.00442,0.89392,0.96364,0.98909,0.9424,0.34212,0.29958,0.00453,0.000341077,0.000341077,0.000341077
142,231.278,0.45963,0.93801,0.00507,0.85545,0.99973,0.97117,0.91782,0.33744,0.30466,0.00442,0.000335578,0.000335578,0.000335578
143,232.583,0.37893,0.83569,0.00486,0.91781,0.94815,0.97917,0.93223,0.3214,0.30198,0.00419,0.000330078,0.000330078,0.000330078
144,234.035,0.37424,0.80374,0.00404,0.92465,0.93563,0.97808,0.93241,0.32836,0.30431,0.00426,0.000324579,0.000324579,0.000324579
145,235.335,0.38873,0.89526,0.00473,0.92465,0.93563,0.97808,0.93241,0.32836,0.30431,0.00426,0.000319079,0.000319079,0.000319079
146,236.786,0.42257,0.86069,0.00476,0.93072,0.93669,0.97808,0.93079,0.33333,0.30436,0.00436,0.00031358,0.00031358,0.00031358
147,238.227,0.37318,0.84771,0.00444,0.9479,0.9352,0.97971,0.92641,0.34365,0.30189,0.00451,0.00030808,0.00030808,0.00030808
148,239.614,0.34866,0.82216,0.0042,0.97141,0.93356,0.98448,0.92461,0.36034,0.28967,0.00474,0.000302581,0.000302581,0.000302581
149,241.016,0.37153,0.89265,0.00428,0.97141,0.93356,0.98448,0.92461,0.36034,0.28967,0.00474,0.000297081,0.000297081,0.000297081
150,242.57,0.39991,0.90694,0.00452,0.97523,0.95098,0.99223,0.93098,0.37047,0.28657,0.0049,0.000291582,0.000291582,0.000291582
151,244.12,0.3529,0.77469,0.00414,0.97337,0.95993,0.99223,0.93669,0.36139,0.29333,0.00485,0.000286083,0.000286083,0.000286083
152,245.566,0.41914,0.8331,0.00421,0.96658,0.94619,0.99073,0.93891,0.35485,0.29197,0.00476,0.000280583,0.000280583,0.000280583
153,246.925,0.42479,0.83352,0.00532,0.96658,0.94619,0.99073,0.93891,0.35485,0.29197,0.00476,0.000275084,0.000275084,0.000275084
154,248.334,0.40703,0.81902,0.00522,0.96869,0.94699,0.99073,0.94795,0.3346,0.28549,0.00446,0.000269584,0.000269584,0.000269584
155,249.831,0.37286,0.7542,0.00424,0.98809,0.92169,0.98909,0.94505,0.32644,0.28207,0.00435,0.000264085,0.000264085,0.000264085
156,251.275,0.35373,0.73917,0.00393,0.98972,0.9237,0.98909,0.93611,0.32442,0.28071,0.00434,0.000258585,0.000258585,0.000258585
157,252.643,0.34468,0.78238,0.00387,0.98972,0.9237,0.98909,0.93611,0.32442,0.28071,0.00434,0.000253086,0.000253086,0.000253086
158,254.084,0.38517,0.84905,0.00423,0.99302,0.92111,0.98909,0.93914,0.331,0.2795,0.00439,0.000247586,0.000247586,0.000247586
159,255.587,0.38331,0.83779,0.00454,0.98888,0.93867,0.992,0.94221,0.3391,0.27748,0.00447,0.000242087,0.000242087,0.000242087
160,257.003,0.3976,0.88052,0.00453,0.99362,0.94263,0.992,0.93941,0.34887,0.27497,0.00454,0.000236587,0.000236587,0.000236587
161,258.366,0.43304,0.86,0.00551,0.99362,0.94263,0.992,0.93941,0.34887,0.27497,0.00454,0.000231088,0.000231088,0.000231088
162,259.761,0.37678,0.78901,0.00449,0.9928,0.94322,0.992,0.93113,0.35093,0.27563,0.00455,0.000225589,0.000225589,0.000225589
163,261.267,0.39791,0.83183,0.00475,0.9906,0.95079,0.992,0.93124,0.35815,0.25584,0.00465,0.000220089,0.000220089,0.000220089
164,262.745,0.35807,0.78861,0.00404,0.98373,0.95216,0.992,0.94138,0.35329,0.25018,0.00462,0.00021459,0.00021459,0.00021459
165,264.141,0.37991,0.73111,0.00413,0.98373,0.95216,0.992,0.94138,0.35329,0.25018,0.00462,0.00020909,0.00020909,0.00020909
166,265.572,0.39203,0.88489,0.00423,0.98244,0.95123,0.992,0.94213,0.34935,0.24784,0.0046,0.000203591,0.000203591,0.000203591
167,266.968,0.36681,0.76478,0.00395,0.98076,0.94986,0.992,0.94376,0.34088,0.24683,0.00453,0.000198091,0.000198091,0.000198091
168,268.416,0.36144,0.84224,0.00393,0.97834,0.94573,0.992,0.93885,0.33745,0.24579,0.00445,0.000192592,0.000192592,0.000192592
169,269.912,0.40672,0.87772,0.0047,0.97834,0.94573,0.992,0.93885,0.33745,0.24579,0.00445,0.000187092,0.000187092,0.000187092
170,271.492,0.34376,0.82438,0.00384,0.9771,0.94264,0.992,0.94164,0.33138,0.2445,0.00436,0.000181593,0.000181593,0.000181593
171,273.034,0.3634,0.77223,0.0042,0.94959,0.974,0.992,0.9415,0.32913,0.24442,0.00431,0.000176094,0.000176094,0.000176094
172,274.548,0.3577,0.73681,0.00412,0.9489,0.97377,0.992,0.94428,0.32349,0.25562,0.00425,0.000170594,0.000170594,0.000170594
173,275.988,0.37494,0.79182,0.00465,0.9489,0.97377,0.992,0.94428,0.32349,0.25562,0.00425,0.000165095,0.000165095,0.000165095
174,277.584,0.37553,0.79382,0.00417,0.94777,0.9738,0.9905,0.93665,0.33473,0.25714,0.00437,0.000159595,0.000159595,0.000159595
175,279.07,0.4186,0.81143,0.00501,0.9472,0.97497,0.9905,0.93327,0.33684,0.25449,0.00441,0.000154096,0.000154096,0.000154096
176,280.53,0.35249,0.71001,0.00407,0.9427,0.98428,0.992,0.93825,0.33526,0.24735,0.00439,0.000148596,0.000148596,0.000148596
177,282.076,0.34947,0.68957,0.00353,0.9427,0.98428,0.992,0.93825,0.33526,0.24735,0.00439,0.000143097,0.000143097,0.000143097
178,283.579,0.37329,0.74953,0.00374,0.97153,0.96134,0.9935,0.94087,0.33401,0.24165,0.00436,0.000137597,0.000137597,0.000137597
179,285.023,0.32649,0.70974,0.00355,0.9739,0.96539,0.995,0.94292,0.33467,0.23824,0.00433,0.000132098,0.000132098,0.000132098
180,286.511,0.34007,0.72359,0.00356,0.97041,0.96798,0.9935,0.94042,0.33222,0.23449,0.00431,0.000126598,0.000126598,0.000126598
181,287.957,0.34019,0.69608,0.00427,0.97041,0.96798,0.9935,0.94042,0.33222,0.23449,0.00431,0.000121099,0.000121099,0.000121099
